ID,latitude,longitude,runway_L,freq_count,airline_count,surface
NGUK,0.185277998,173.6369934,2960,0,0,1
NTGN,-14.17679977,-141.2669983,2953,1,0,3
PG-VMU,-7.496860027,144.8199005,2953,0,0,1
RPUX,14.89309978,120.8519974,2953,2,0,3
NVSA,-13.66600037,167.7120056,2953,0,0,1
NFNO,-17.3458004,179.4219971,2952,0,0,1
NTGY,-20.78969955,-138.5700073,2949,0,0,3
NGAB,1.798609972,173.0410004,2904,0,0,1
MH-NDK,5.631669998,168.125,2900,0,0,1
RPUU,12.68420029,123.8779984,2900,0,0,3
NTGD,-15.57359982,-146.4149933,2854,0,0,3
MLIP,6.083330154,171.7330017,2850,0,0,0
MH-TIC,7.133329868,171.9170074,2850,0,0,1
MH-WTO,10.17329979,166.003006,2850,0,0,0
MH-LIK,9.823160172,169.3079987,2800,0,0,0
AGGV,-7.585559845,158.7310028,2789,0,0,0
NVSM,-16.58419991,168.1589966,2789,0,0,1
YBAU,-10.14999962,142.1734009,2788,4,0,2
AGAT,-8.873330116,161.0110016,2769,0,0,1
TW-CMJ,23.21310043,119.4179993,2766,0,0,3
NVSL,-16.45400047,167.822998,2755,0,0,1
NTMP,-9.351670265,-140.0780029,2723,0,0,3
PHLU,21.21100044,-156.973999,2700,0,0,3
PG-GMI,-6.271110058,150.3309937,2690,0,0,0
PG-IHU,-7.89756012,145.3959961,2648,0,0,1
RPLT,20.71699905,121.8170013,2628,0,0,3
RORA,26.59250069,127.2409973,2625,1,0,3
RORH,24.05890083,123.8059998,2625,1,0,3
ROKR,26.16830063,127.2929993,2625,0,0,3
NVSF,-16.26499939,167.923996,2598,0,0,1
NFCI,-17.74329948,-179.3419952,2500,0,0,1
NFNH,-16.74810028,-179.6670074,2500,0,0,3
UJAP,8.928059578,165.7619934,2500,0,0,0
NTMU,-8.936109543,-139.552002,2477,1,0,3
NFNG,-18.11560059,179.3399963,2474,0,0,0
N20,7.016670227,171.4830017,2450,0,0,1
PHPA,21.89690018,-159.6029968,2450,0,0,3
03N,11.22200012,169.852005,2400,0,0,1
HI33,21.94239998,-159.4400024,2400,0,0,3
NFNK,-18.19919968,-178.8170013,2372,1,0,3
PG-AWB,-8.006110191,142.7483521,2313,0,0,1
AYKK,-7.424379826,144.2500763,2297,1,0,1
NSMA,-13.74230003,-172.2579956,2297,0,0,3
NVSG,-15.30669975,167.9669952,2297,0,0,2
NVSO,-15.86559963,168.1719971,2297,0,0,3
NVSC,-13.85169983,167.5370026,2297,0,0,1
NFTE,-21.37829971,-174.9579926,2247,0,0,2
AGGR,-11.53390026,160.0630035,2206,0,0,1
NGMN,3.374439955,172.9920044,2198,0,0,2
NSFI,-13.84869957,-171.7400055,2198,0,0,3
AS-TAV,-14.22920036,-169.5110016,2170,0,0,2
NVVD,-18.76939964,169.0010071,2165,0,0,1
NVSR,-15.47200012,167.8350067,2165,0,0,1
NVSW,-15.4119997,167.6909943,2165,0,0,1
MH-AIM,10.21679974,169.9830017,2150,0,0,0
NFNB,-17.71109962,178.7590027,2100,0,0,1
NFFO,-17.7779007,177.1970062,2100,0,0,0
MH-AUL,8.145279884,171.1730042,2100,0,0,2
NVVA,-20.24920082,169.7709961,2001,0,0,1
NVSI,-16.43899918,168.2570038,2001,0,0,1
NVST,-16.89109993,168.5509949,2001,0,0,1
AGGU,-9.86166954,160.8249969,2000,0,0,0
NSAS,-14.1843996,-169.6699982,2000,0,0,3
HI25,19.12280083,-155.5780029,2000,0,0,1
AEK,-7.350804806,146.1938629,1969,0,0,1
NVSV,-16.79610062,168.177002,1969,0,0,1
NFSW,-16.75889969,177.5449982,1950,0,0,0
MH-LML,8.921110153,166.2649994,1950,0,0,0
HI49,21.14789963,-157.2590027,1920,0,0,1
NFMO,-18.56669998,179.951004,1900,0,0,1
NVVF,-19.51639938,170.2319946,1899,0,0,1
HI28,19.21619987,-155.4689941,1650,0,0,1
TT01,18.12439919,145.7689972,1500,0,0,1
